Customer name,Customer reference,Service rating,Service review title,Service review,NPS rating
Richard,Gary Bray,5,Great Service and Advice 5/5,Gary and Karlie provided us with excellent mortgage advice and helped us to secure a good mortgage to a short and demanding deadline. Their service was friendly and helpful and they were always available for a chat over the phone. We will definitely by using them again in the future when we come to remortgage and have recommended them to friends.,10
Alisha,Paul Gent,5,Simple and Seamless,"Paul is amazing, very personable and worked out exactly what we needed with some complex circumstances. He made everything simple even with sensitive topics we needed to work around! Paul will now be my go too and who I recommend.",10
Thomas,Peter Stickley,5,,,8
Heather,Joe Maskell,5,"Absolutely excellent, would thoroughly recommend","Joe Maskell went above and beyond to provide an excellent service for our remortgage. 
He is knowledgeable, helpful and extremely personable, nothing was too much trouble. 
His follow up service also has been exemplary. 
Thank you so much",10
Anish,Carl Thorne,5,Outstanding Service from Carl – Highly Recommended!,"I can’t recommend Carl highly enough. From the very beginning, he was professional, proactive, and genuinely cared about getting me the best possible outcome.

With all the uncertainty in the current global situations , Carl planned everything well in advance and helped me secure a much better rate for my remortgage as early as possible. His forward-thinking approach made a huge difference and gave me peace of mind, knowing I had locked in a great deal before rates changed further.

I’m incredibly grateful for all his hard work and support. If you’re looking for a knowledgeable, trustworthy, and customer-focused, I wouldn’t hesitate to recommend Carl.",10
Andrew,Bryce Protheroe,5,Seamless experience,Excellent.,10
Nataliia,Tim Dock,5,Excellent Service and Trusted Advice,"We came back to Tim for our remortgage after such a great experience the first time. He was attentive, explained all our options clearly, and answered every question we had. We were so impressed that we also asked Finance Planning to arrange our business health insurance. A trustworthy team that we highly recommend.",10
Connor,Jack Humphries,5,,Was very happy with the service provided and will not use anyone else,10
Alison,Scott Sutton,5,Brilliant service,Scott and Sophie were brilliant as always. Helping us get a new mortgage deal and dealing with the stressful side of things. Will definitely be using them again and highly recommend.,10
Matthew,Neil Sadler,5,,"Neil has been acceptional through out a mortgage renewal and a new mortgage for are latest move, he’s been very clear and helpful with every process and helped us understand a lot when unsure. 

I would highly recommend him and the team for anything finance related.",10
Katrin Deane,Joe White,5,Highly recommended!,"We had a great experience with this finance firm from start to finish. A special thank you to Joe, who was incredibly supportive throughout the entire process. He kept us informed every step of the way and was always professional, patient, and reassuring.

Even after our first application was declined, Joe didn’t give up on us. Instead, he continued to work hard, explored other options, and remained committed to helping us achieve a positive outcome. His dedication and persistence truly made all the difference.

We are so grateful for all of Joe’s efforts and the excellent service we received. I highly recommend this finance firm to anyone looking for a team that genuinely cares about their clients. Thank you again, Joe, for going above and beyond!",10
Joseph,Andy Poustie,5,Would highly recommend. Honest and genuine,"My husband and I were recommended finance planning when we were purchasing our first home, 7 years ago.
We have continued to use them since then and would highly recommend Andy’s business.
He has a wealth of knowledge, gives us genuine advice and has always been honest, professional and courteous.",10
Mahendra,Surakshya Rai,5,Feedback,Extremely satisfied with the service that I received.,10
Lucy,Kate Joyice,5,A pleasure to work with,"Kate consistently goes above and beyond for her clients, you couldn’t ask for better help during the stressful process of moving!",10
Saul,Daniel Walsh,5,Daniel Walsh,Excellent service from Daniel Walsh. He took away all the stress and hassle to find the best product for me. Can’t recommend him enough!,10
