Customer name,Customer reference,Service rating,Service review title,Service review,NPS rating
Andrew,Ellis Featherbe,5,,Very Good,10
Nadia,Daniel Walsh,5,,Efficient reliable with customer best interest at heart. Takes specific needs into consideration and provides best solutions,10
Amelia,Gary Bray,5,Thank you Gary!!,"Gary was amazing throughout the whole process - incredibly helpful, informative, reassuring and hard working. We felt in very safe hands. Nothing was too much trouble and no question was silly. We would recommend him to everyone!",10
Lisa,Rob Chart,5,Brilliant service,"Excellent advice, great communication and very reliable. We have used Rob for many years and would highly recommend him.",10
Kushum,Surakshya Rai,5,,,10
Alicja,Adam Kowalczyk,5,Exceptional Service!,"We are extremely happy with the service provided by Finance Planning during our home purchase. Our broker, Adam, was incredibly professional, helpful, and guided us smoothly through the entire mortgage process. We felt fully supported every step of the way. Highly recommend!",10
Vicky,Philip Smith,5,Highly efficient and great communication,We’ve used finance planning for the last 3 times we have remortgaged and each time we feel assured that we are in capable hands. It’s always a seamless process and Phil is always happy to answer any queries/questions we have.,10
Sarah,Graham Morris,5,Amazing service,"Amazing service. Friendly, professional and so helpful. Made the whole process easy and stress free.",10
Stuart,Pete Burgess,5,Pete is amazing,"We come to Pete on a recommendation and wow we couldn't have been more impressed!
We are first time buyers so a little unsure and wary on the processes of getting a mortgage and buying a house, but Pete was an absolute breath of fresh he, he met myself and my wife at our home and explained everything to us, which really put us at ease.

Throughout the entire process he kept us updated and made a few changes when interest rates changed and then also when we changed our mortgage term and amount. We never needed to contact Pete as he always contacted us first.

Pete is a truly lovely guy and top of his game, we will never use anyone but him

Thanks again Pete",10
Nigel,Jonathan Peachey,5,"A very thoughtful personal service, offering complete financial clarity.","An excellent seamless service for our mortgage renewal which considered our personal circumstances now and potentially in the future.
Every detail was explained and was easy to understand along with risks and benefits.
The financial details were carefully explained, and this clarity gives reassurance and confidence in the product and service.
A very thoughtful personal service which made what can be a challenging subject stress free. We would highly recommend.",10
Alessandra,Daniel Grant,5,Highly recommended!,"I have been with Daniel at Finance Planning for a few years, and at least three different mortgage providers now. He’s always been attentive and highly competent in finding the right product for me. Highly recommended!",10
John,Carl Thorne,5,Excellent service,Carl has advised me on my mortgage twice now and has always been very helpful and proactive. Fully trust him to find me the best deal and communicate it clearly. Highly recommended.,10
Anita,Romi Pal,5,,,10
Toby,Bryce Protheroe,5,"Fantastic service, highly recommended",Bryce was superb from start to finish. Keeping me regularly updated with my application. The whole process was made very simple and it was much easier than any previous mortgage applications I have had with others in the past.,10
David,Daniel Grant,5,Superb mortgage broker - would recommend to anyone who cares to ask.,"Daniel was excellent throughout the whole process, and was extremely knowledgable and reassuring. We had some uncertainty around choice of solicitor and the different panels that they were able to work with, which all seems very daunting and confusing at first. However, Daniel was able to guide us through the process with relative ease and secure us a great mortgage. Would 100% recommend to anyone.",10
Caroline,Emily Chattaway,5,Excellent bespoke service,Emily takes the time to understand our personal background context and what’s important to us before making any recommendations. Pleasure to work with and would highly recommend.,10
Christopher,Tracey Copeland,5,Tracey helped me with a complexed mortgage issue to hum i mostgreatful,A very  Personal and thorough service with much detail to my finnancial needs,10
Iuliana,Petru Balan,5,Exceptional Mortgage Advice service from Finance Planning.,"I was very impressed with the service from this company. My advisor, Petru Balan was exceptional in the knowledge and detail with which he advised our family, and he went the extra mile to secure us the mortgage rates we wanted, at a time where there was instability and rates were going up. In the run to making the offer, no detail was left unexplained, no question unanswered, with patience and top-class professional conduct but most importantly, being on his client's side. I needed a lot of advice and hand-holding, and I got every advice I needed at every stage in my mortgage application until I got my keys. Our case wasn't straightforward, and it is at times like these where such a difference can be made by a professional with interest and passion for what they do, and our advisor is one of those excellent professionals. Thank you so, so much!",10
Nicholas,Jonathan Peachey,5,,Jonathan consistently reviews the market before recommending the best possible options.,10
Moloy,Carrie Millin,5,Carrie Millin is a best Mortgage advisor and very helpful as well.,Great service by Carrie Millin. She always updated me. Very friendly and knowledgeable. I always recommend  finance Planning to my friends and family and tell them to choose Carrie Millin as a mortgage advisor.,10
Leena,Charlotte Haddow,5,,"Exceptional service provided by Charlotte
We strongly recommend her to anyone seeking professional advice
Our mortgage process was really smooth and quick thanks to Charlotte",10
Sarbpreet,Jack Savory,5,,,10
Craig,Paul Gent,5,Mortgage Review,"My mortgage review is always informative and Paul explains every step of the proccess clearly and makes sure i understand the terms before i leave.
The new morgage deals are competative and suited to my needs.
The meetings are always conducted in a warm and friendly manner and all of the staff you deal with are friendly and supportive.",10
Sukhwinder,James Hall,5,Excellent service,I have been using your service for last 15 years through James Hall He has been excellent,10
Angela,Scott Sutton,5,Will definitely recommend,"Scott Sutton is a very friendly and helpful person, always goes behind of everything to help with with anything you need it😃thank you again!",10
Victoria,Claire Lipscomb,5,Professional and personable,"Personable, Claire took account of my individual circumstances in considering the best products. She was friendly and reassuring as well as professional, and was able to get the best mortgage option for me. I will be using her again when it comes to renewal.",10
Emma,Carl Thorne,5,Great experience,Fab service and Carl was always more than happy to help with any queries. Really great experience and will continue to use and recommend.,10
Richard,Claire Lipscomb,5,,,10
Lora,Gary Bray,5,,Great service provided by Gary! Highly recommend!,10
Gelu,Petru Balan,5,highly recommend,"I have worked with this company 4 times and each time it has been successful, very understanding professionals and my mortgage advisor Petru Balan is very professional in everything he does, I highly recommend it.",10
Sandra,Philip Smith,5,Great service again !,"Always helpful, great advice and always prompt responses",
Stewart,Paul Ripley,5,Great Service would highly recommend,"Straight forward

Great explanation

Kept updated. Informed all the time",
Indira,Smriti Pun,5,Thank you!,Smriti Pun had helped us very well during our remortgage. Very fast and professional throughout the process and always there to help whenever I was confused on each step of the remortgage  process as it is my first time doing it. Thank you very much!,9
Robert,Johnny Lancaster,5,,Excellent customer service and very good communications throughout renewing mortgage and insurances,10
Jacqueline,Andrew Bramley,5,Always excellent,Andrew is my go to every time for mortgages. Excellent service and very user friendly! Would recommend.,10
Anna,Hannah Logan-Hughes,5,"Excellent broker who provides great service, is always available, and is co","Great service from our broker! Always available, incredibly helpful, and very understanding throughout the whole process. We really appreciated their professionalism and support. Highly recommend! ⭐⭐⭐⭐⭐
Thank you Hannah :)",10
